# The quiz: a text, then "=>", then the space it should build, then (optional) "|" and
# questions with their answers: "question = answer; question = answer".
# Statements: "X in Y" (X is inside Y), "X is Y" (X joined the group Y), "X owns Y", "X: fact".
# Separate with ";".
# Answers: names ("green"; "bike, car" when more than one), "yes", "no", "nothing", or a number
# written in digits.
# Every line starts from an empty space. Only the permanent space counts: what the reader kept
# when a sentence settled. Questions are asked of that space. No word has a meaning in the code: the
# reader learns which behaviors each word promotes from these lines.
# Most lines are scenes: two to five statements, then many questions about them. The questions
# ask each fact in several wordings (where is X, what is in Y, is X in Y), ask about a thing the
# scene does not name (nothing, no), and combine facts where the concept allows. Things in one
# scene have distinct names, unless the concept is about two of the same kind. Simple scenes come
# first. Turn lines stay one statement and one question, since a turn draws one answer.
# Lines that start with "test:" are held out: the reader never learns from them; they show if
# what was learned works on new sentences. Test scenes use new names and things in the shapes
# the learned scenes teach.
# The shape of the numbers facts: the digits put their number on the stack, "=" applies nothing,
# and the word takes the number, so the word's value comes only from the digits; the number words
# every line knows (number-words) are seeded as word = digit, never digit = word, since a digit is a
# value and a thing named by a digit is only a node to land on by chance.
# These scenes only state, since the facts file they teach only states.
seed: 21-verb-forms
seed: 90-everyday
seed: 18-qualities
seed: 17-speakers
3 = three . 5 = five . => {number:value(3)}; three -> {equal} -> {number:value(3)}; {number:value(5)}; five -> {equal} -> {number:value(5)}
10 = ten . 13 = thirteen . => {number:value(10)}; ten -> {equal} -> {number:value(10)}; {number:value(13)}; thirteen -> {equal} -> {number:value(13)}
40 = forty . 100 = hundred . => {number:value(40)}; forty -> {equal} -> {number:value(40)}; {number:value(100)}; hundred -> {equal} -> {number:value(100)}
test: 70 = seventy . 14 = fourteen . => {number:value(70)}; seventy -> {equal} -> {number:value(70)}; {number:value(14)}; fourteen -> {equal} -> {number:value(14)}
the box is in the car. the car is in the garage. the bag is in the house. => box -> {in} -> car -> {in} -> garage; bag -> {in} -> house | what is in the car? = box; where is the car? = garage; where is the box? = car; what is in the garage? = car; where is the bag? = house; what is in the house? = bag; is the bag in the car? = no; is the car in the garage? = yes; where is the garage? = {nothing}
# Two clauses joined by "and": each keeps its own place. These carry weight since "and" also
# joins two objects (reopen) and two subjects (companion), and the clause reading lost to those.
the dog is in the house and the cat is in the garden. the key is in the box and the pen is in the bag. => dog -> {in} -> house; cat -> {in} -> garden; key -> {in} -> box; pen -> {in} -> bag | where is the cat? = garden; what is in the house? = dog; where is the pen? = bag; what is in the box? = key; where is the dog? = house; where is the key? = box; what is in the garden? = cat; what is in the bag? = pen; is the cat in the house? = no; is the key in the box? = yes; where is the bird? = {nothing}
the cup is on the table and the book is on the bed. a cat is in the car and a dog is in the house. => cup -> {on} -> table; book -> {on} -> bed; cat -> {in} -> car; dog -> {in} -> house | where is the book? = bed; where is the dog? = house; what is in the car? = cat; where is the cup? = table; what is on the table? = cup; what is on the bed? = book; where is the cat? = car; what is in the house? = dog; is the dog in the car? = no; is the cup on the table? = yes; where is the key? = {nothing}
a key is in the cup and a ball is in the bag. the doll is in the box and the toy is in the car. => key -> {in} -> cup; ball -> {in} -> bag; doll -> {in} -> box; toy -> {in} -> car | where is the ball? = bag; what is in the cup? = key; where is the key? = cup; what is in the bag? = ball; where is the doll? = box; what is in the car? = toy; where is the toy? = car; what is in the box? = doll; is the ball in the cup? = no; is the doll in the box? = yes; where is the pen? = {nothing}
red is a color. green is a color. apple is green. coal is black. => red -> {is} -> color; green -> {is} -> color; apple -> {green}; coal -> {black} | what color is apple? = green; is green a color? = yes; what is apple? = green; is apple green? = yes; is red a color? = yes; what is green? = apple; is apple red? = no; is coal black? = yes; is coal white? = no; what is black? = coal; is apple black? = no
red is a color. blue is a color. the car is red. snow is white. milk is white. => red -> {is} -> color; blue -> {is} -> color; car -> {red}; snow -> {white}; milk -> {white} | what color is the car? = red; is the car blue? = no; what is white? = milk, snow; is blue a color? = yes; is red a color? = yes; what is red? = car; is snow white? = yes; is milk red? = no; what color is snow? = white; is the car red? = yes
grass is green. the sun is hot. apple is a fruit. => grass -> {green}; sun -> {hot}; apple -> {is} -> fruit | is grass green? = yes; is grass blue? = no; is the sun hot? = yes; is the sun cold? = no; is apple a fruit? = yes; what is apple? = fruit; what is hot? = sun; what is green? = grass; is the sun green? = no; is grass a fruit? = no; what color is grass? = green
rose is a flower. a dog is an animal. a cat is an animal. => rose -> {is} -> flower; dog -> {is} -> animal; cat -> {is} -> animal | what is rose? = flower; is the dog an animal? = yes; is the cat a color? = no; is the cat an animal? = yes; what is the dog? = animal; is rose a flower? = yes; is the dog a flower? = no; is rose an animal? = no; what is the cat? = animal
rex is the dog. tom is the cat. black is a color. the cat is black. => rex -> {is} -> dog; black -> {is} -> color; tom -> {is} -> cat -> {black} | what is rex? = dog; what is tom? = cat; is the cat black? = yes; is black a color? = yes; what color is the cat? = black; what is black? = cat; is rex a cat? = no; is tom a cat? = yes; is the dog black? = no; is tom a dog? = no
red is a color. the car is red. blue is a color. the sky is blue. the bike was blue. => red -> {is} -> color; car -> {red}; blue -> {is} -> color; sky -> {blue}; bike -> {blue} | what color is the car? = red; what color is the sky? = blue; is the bike blue? = yes; what is blue? = bike, sky; is the car blue? = no; is the sky red? = no; what color is the bike? = blue; what is red? = car; is red a color? = yes; is blue a color? = yes
green is a color. the grass is green. white is a color. the milk is white. => green -> {is} -> color; grass -> {green}; white -> {is} -> color; milk -> {white} | is the grass green? = yes; is the milk white? = yes; is the milk red? = no; what color is the grass? = green; what color is the milk? = white; what is white? = milk; what is green? = grass; is white a color? = yes; is the grass white? = no; is green a color? = yes
the box has a key. the house has a door. the cup has water. the bag has a pen. => box -> {has} -> key; house -> {has} -> door; cup -> {has} -> water; bag -> {has} -> pen | what does the box have? = key; what does the house have? = door; what does the cup have? = water; what does the bag have? = pen; what does the key have? = {nothing}; what does the car have? = {nothing}; what has water? = cup; what has a door? = house
I have a dog. we have a cat. the bike has a bell. => user -> {has} -> dog; we -> {has} -> cat; bike -> {has} -> bell | what do I have? = dog; what do we have? = cat; who has the dog? = user; who has the cat? = we; what does ann have? = {nothing}; what do you have? = {nothing}; what does the bike have? = bell; what has a bell? = bike
I have a cat and a dog. we have a car and a boat. => user -> {has} -> cat; user -> {has} -> dog; we -> {has} -> car; we -> {has} -> boat | what do I have? = cat, dog; what do we have? = boat, car; who has the cat? = user; who has the boat? = we; who has the dog? = user; who has the car? = we; what does tom have? = {nothing}; what do you have? = {nothing}
I have a book and a ball. the room has a lamp and a bed. => user -> {has} -> book; user -> {has} -> ball; room -> {has} -> lamp; room -> {has} -> bed | what do I have? = ball, book; what does the room have? = bed, lamp; who has the ball? = user; who has the book? = user; what has a lamp? = room; what does the lamp have? = {nothing}; what does the bed have? = {nothing}; what do we have? = {nothing}
the garage has a car and a bike. we have a hat and a coat. => garage -> {has} -> car; garage -> {has} -> bike; we -> {has} -> hat; we -> {has} -> coat | what does the garage have? = bike, car; what do we have? = coat, hat; who has the hat? = we; who has the coat? = we; what has a car? = garage; what has a bike? = garage; what does the car have? = {nothing}; what do I have? = {nothing}
I had a car and a bike. the box has a toy. => user -> {has} -> car; user -> {has} -> bike; box -> {has} -> toy | what did I have? = bike, car; what does the box have? = toy; who had the car? = user; who had the bike? = user; what has a toy? = box; what does the toy have? = {nothing}; what did ann have? = {nothing}; what did we have? = {nothing}
I had a car. it broke down. ben had a scarf. it was yellow. => user -> {has} -> car -> {did} -> broke; ben -> {has} -> scarf -> {yellow} | what broke down? = car; who had the car? = user; who had the scarf? = ben; what color is the scarf? = yellow; what did ben have? = scarf; what did I have? = car; what is yellow? = scarf; is the scarf yellow? = yes; is the car yellow? = no; who had the bike? = {nothing}; what did we have? = {nothing}
I had a bike. it broke down. ann had a car. it was white. => user -> {has} -> bike -> {did} -> broke; ann -> {has} -> car -> {white} | what did I have? = bike; what did ann have? = car; what color is the car? = white; what broke down? = bike; who had the bike? = user; who had the car? = ann; what is white? = car; is the bike white? = no; what did ben have? = {nothing}
I had a car. it was red. we had a bike. it was green. => user -> {has} -> car -> {red}; we -> {has} -> bike -> {green} | what did I have? = car; what is red? = car; what did we have? = bike; what color is the bike? = green; what color is the car? = red; who had the bike? = we; who had the car? = user; what is green? = bike; is the car green? = no; what broke down? = {nothing}
the cat is in the garden. it is black. the key is in the box. it is red. => cat -> {in} -> garden; cat -> {black}; key -> {in} -> box; key -> {red} | what is black? = cat; what is red? = key; where is the cat? = garden; where is the key? = box; what is in the garden? = cat; what is in the box? = key; is the cat black? = yes; is the key black? = no; what color is the key? = red; is the box red? = no
the bird is in the tree. it is small. the dog is in the house. it is brown. => bird -> {in} -> tree; bird -> {small}; dog -> {in} -> house; dog -> {brown} | what is small? = bird; what is brown? = dog; where is the bird? = tree; where is the dog? = house; is the tree small? = no; is the dog brown? = yes; what color is the dog? = brown; what is in the tree? = bird; is the bird brown? = no
the duck is in the lake. it is white. the ball is in the bag. it is yellow. => duck -> {in} -> lake; duck -> {white}; ball -> {in} -> bag; ball -> {yellow} | what is white? = duck; what is yellow? = ball; where is the duck? = lake; where is the ball? = bag; what color is the duck? = white; what color is the ball? = yellow; is the bag yellow? = no; is the lake white? = no; what is in the bag? = ball
the car is in the street. it is grey. we had a boat. the boat is in the lake. it was red. => car -> {in} -> street; car -> {grey}; we -> {has} -> boat -> {in} -> lake; we -> {has} -> boat -> {red} | what is grey? = car; what is red? = boat; who had the boat? = we; where is the car? = street; where is the boat? = lake; what did we have? = boat; what color is the car? = grey; is the boat grey? = no; who had the car? = {nothing}
ann had a hat. it was blue. I had a car. the car is in the garage. it broke down. => ann -> {has} -> hat -> {blue}; user -> {has} -> car -> {in} -> garage; user -> {has} -> car -> {did} -> broke | what broke down? = car; who had the car? = user; where is the car? = garage; who had the hat? = ann; what color is the hat? = blue; what did I have? = car; what did ann have? = hat; what is in the garage? = car; is the hat in the garage? = no; what is blue? = hat
the key is in the box. the key is in the bag. the cat is in the house. the cat is in the garden. => key -> {in} -> bag; cat -> {in} -> garden; key -> {in} -> box -> {time} -> {past}; cat -> {in} -> house -> {time} -> {past} | where is the key? = bag; where is the cat? = garden; what is in the bag? = key; what is in the garden? = cat; what is in the box? = {nothing}; what is in the house? = {nothing}; is the key in the box? = no; is the cat in the garden? = yes; is the key in the bag? = yes; is the cat in the house? = no
the pen is in the cup. the pen is in the box. the cup is on the table. the cat is on the bed. => pen -> {in} -> box; cup -> {on} -> table; cat -> {on} -> bed; pen -> {in} -> cup -> {time} -> {past} | what is in the cup? = {nothing}; where is the cup? = table; what is on the bed? = cat; where is the pen? = box; what is in the box? = pen; what is on the table? = cup; where is the cat? = bed; is the pen in the cup? = no; is the cat on the bed? = yes
a car is in the garage. a car is in the street. a dog is in the house. a dog is in the garden. => car -> {in} -> garage; car -> {in} -> street; dog -> {in} -> house; dog -> {in} -> garden | where is the car? = garage, street; where is the dog? = garden, house; what is in the garage? = car; what is in the street? = car; what is in the house? = dog; what is in the garden? = dog; is the car in the house? = no; where is the cat? = {nothing}
tom is at the school. the car is at the garage. the door of the house is red. => tom -> {at} -> school; car -> {at} -> garage; door -> {in} -> house; door -> {red} | where is tom? = school; where is the car? = garage; where is the door? = house; what is red? = door; what is in the school? = tom; what is in the garage? = car; is tom at the school? = yes; is the house red? = no; where is ann? = {nothing}; what is in the house? = door
the key of the car is in the box. the cat went to the garden. the dog went to the house. the dog went into the garden. => key -> {in} -> box; cat -> {go}:time(past) -> garden; dog -> {go}:time(past) -> house; dog -> {go}:time(past) -> garden | where is the key? = box; where is the cat? = garden; where is the dog? = garden; what is in the garden? = cat, dog; what is in the box? = key; is the dog in the house? = no; what is in the house? = {nothing}; is the cat in the garden? = yes
the ball went into the box. there is a cat in the garden. the cars were in the street. => cat -> {in} -> garden; cars -> {in} -> street; ball -> {go}:time(past) -> box | what is in the box? = ball; where is the cat? = garden; where are the cars? = street; where is the ball? = box; what is in the garden? = cat; what is in the street? = cars; is the cat in the box? = no; where are the keys? = {nothing}
there is a key in the box. the cats are in the garden. the bird was in the tree. then the bird went into the house. => key -> {in} -> box; cats -> {in} -> garden; bird -> {go}:time(past) -> house | what is in the box? = key; where are the cats? = garden; where is the bird? = house; where is the key? = box; what is in the garden? = cats; what is in the house? = bird; what is in the tree? = {nothing}; is the bird in the tree? = no; is the key in the box? = yes
the keys were in the box. the car is red. the car is also fast. the cat was in the house. then the cat went to the garden. => keys -> {in} -> box; car -> {red}; car -> {fast}; cat -> {go}:time(past) -> garden | where are the keys? = box; what is fast? = car; where is the cat? = garden; what is red? = car; is the car fast? = yes; is the car red? = yes; what is in the box? = keys; what is in the house? = {nothing}; is the cat in the house? = no; is the cat fast? = no
this box has a key. this cup is on the table. => box -> {has} -> key; cup -> {on} -> table | what does the box have? = key; where is the cup? = table; what is on the table? = cup; what has a key? = box; what does the cup have? = {nothing}; is the cup on the table? = yes; where is the box? = {nothing}; what is in the cup? = {nothing}
tom had a bike. tom had a bag. the key is in his bag. ben is in the house. his dog is in the garden. => tom -> {has} -> bike; tom -> {has} -> bag; key -> {in} -> bag; ben -> {in} -> house; ben -> {has} -> dog -> {in} -> garden | where is the key? = bag; who had the dog? = ben; who had the bag? = tom; who had the bike? = tom; where is ben? = house; where is the dog? = garden; what is in the bag? = key; is the key in the bike? = no; what did tom have? = bag, bike; what did ben have? = dog
ben had a box. ben had a bag. the pen is in his box. ann had a ball. her cat is black. => ben -> {has} -> box; ben -> {has} -> bag; pen -> {in} -> box; ann -> {has} -> ball; ann -> {has} -> cat -> {black} | where is the pen? = box; who had the cat? = ann; who had the box? = ben; who had the bag? = ben; who had the ball? = ann; what is black? = cat; what did ann have? = ball, cat; what did ben have? = bag, box; what is in the box? = pen; is the pen in the bag? = no
tom had a house. tom had a dog. the dog is in his house. ann is in the room. her bag is on the bed. => tom -> {has} -> house; tom -> {has} -> dog -> {in} -> house; ann -> {in} -> room; ann -> {has} -> bag -> {on} -> bed | where is the dog? = house; who had the bag? = ann; who had the house? = tom; who had the dog? = tom; where is ann? = room; where is the bag? = bed; what did tom have? = dog, house; what did ann have? = bag; what is in the house? = dog; what is on the bed? = bag
tom had a bike. his car is red. ann is in the garden. her hat is blue. => tom -> {has} -> bike; tom -> {has} -> car -> {red}; ann -> {in} -> garden; ann -> {has} -> hat -> {blue} | who had the car? = tom; who had the bike? = tom; who had the hat? = ann; what is red? = car; what is blue? = hat; where is ann? = garden; what did tom have? = bike, car; what did ann have? = hat; is the bike red? = no; who had the ball? = {nothing}
# The speaker: "i am" places or classes the speaker, and "my" is "his" for the speaker, so it
# needs an "i" to refer to, which the sentence before gives.
i am in the house. i am tom. i have a dog. my dog is black. => user -> {in} -> house; user -> {is} -> tom; user -> {has} -> dog -> {black} | where am i? = house; who am i? = tom; what color is my dog? = black; what is black? = dog; what do i have? = dog; am i in the house? = yes; what is in the house? = user; is my dog black? = yes; where is my dog? = house
i have a car. my car is red. i am ann. tom is my friend. i am in the park. => user -> {has} -> car -> {red}; user -> {is} -> ann; tom -> {is} -> friend; user -> {has} -> tom; user -> {in} -> park | what color is my car? = red; what is red? = car; who is my friend? = tom; who am i? = ann; is my car red? = yes; what is tom? = friend; is tom red? = no; where am i? = park; what is in the park? = user
turn: i am in the garden where am i => user -> {in} -> garden | garden
# Longer sentences: a quality before the name, a time word, a companion brought along, two
# counted things placed together, and a relative "which" that continues from the last name.
the small box is on the table. the key is in the small box. => key -> {in} -> box -> {on} -> table; key -> {in} -> box -> {small} | what is small? = box; where is the key? = box; where is the box? = table; what is on the table? = box; what is in the box? = key; is the box small? = yes; is the key small? = no; where is the pen? = {nothing}
a tall man is in the garden. the tall man is in the house. today the cat is in the garden. => man -> {in} -> house; man -> {tall}; cat -> {in} -> garden | who is tall? = man; where is the man? = house; where is the cat? = garden; what is in the garden? = cat; what is in the house? = man; is the man in the garden? = no; is the cat tall? = no; is the man tall? = yes
yesterday tom went to the park. yesterday the key was in the box. ann is in the garden with her cat. => key -> {in} -> box; ann -> {in} -> garden; ann -> {has} -> cat; tom -> {go}:time(yesterday) -> park | where is tom? = park; where is the key? = box; where is the cat? = garden; where is ann? = garden; who had the cat? = ann; what is in the box? = key; what is in the park? = tom; is tom in the garden? = no; is the key in the park? = no; where is ben? = {nothing}
tom went to the park with his dog. the box is in the car which is in the garage. => tom -> {has} -> dog; box -> {in} -> car -> {in} -> garage; tom -> {go}:time(past) -> park; dog -> {go}:time(past) -> park | where is the dog? = park; where is the car? = garage; where is the box? = car; where is tom? = park; who had the dog? = tom; what is in the car? = box; what is in the garage? = car; what is in the park? = dog, tom; is the dog in the car? = no
there are three cats and two dogs in the house. the key is in the bag which is on the table. => cat -> {in} -> house; cat:quantity(3); dog -> {in} -> house; dog:quantity(2); three -> {equal} -> {number:value(3)}; two -> {equal} -> {number:value(2)}; key -> {in} -> bag -> {in} -> table | how many cats are in the house? = 3; where are the dogs? = house; how many dogs are in the house? = 2; where are the cats? = house; where is the bag? = table; where is the key? = bag; what is in the bag? = key; what is on the table? = bag
