# The quiz: a text, then "=>", then the space it should build, then (optional) "|" and
# questions with their answers: "question = answer; question = answer".
# Statements: "X in Y" (X is inside Y), "X is Y" (X joined the group Y), "X owns Y", "X: fact".
# Separate with ";".
# Answers: names ("green"; "bike, car" when more than one), "yes", "no", "nothing", or a number
# written in digits.
# Every line starts from an empty space. Only the permanent space counts: what the reader kept
# when a sentence settled. Questions are asked of that space. No word has a meaning in the code: the
# reader learns which behaviors each word promotes from these lines.
# Most lines are scenes: two to five statements, then many questions about them. The questions
# ask each fact in several wordings (where is X, what is in Y, is X in Y), ask about a thing the
# scene does not name (nothing, no), and combine facts where the concept allows. Things in one
# scene have distinct names, unless the concept is about two of the same kind. Simple scenes come
# first. Turn lines stay one statement and one question, since a turn draws one answer.
# Lines that start with "test:" are held out: the reader never learns from them; they show if
# what was learned works on new sentences. Test scenes use new names and things in the shapes
# the learned scenes teach.
# The shape of the numbers facts: the digits put their number on the stack, "=" applies nothing,
# and the word takes the number. Read before the facts are seeded, so the word's value comes only
# from the digits; the facts file 14-numbers.txt is written in this shape and seeded for the rest.
# These scenes only state, since the facts file they teach only states.
3 = three . 5 = five . => 3 = 3; three = 3; 5 = 5; five = 5
10 = ten . 13 = thirteen . => 10 = 10; ten = 10; 13 = 13; thirteen = 13
40 = forty . 100 = hundred . => 40 = 40; forty = 40; 100 = 100; hundred = 100
test: 70 = seventy . 14 = fourteen . => 70 = 70; seventy = 70; 14 = 14; fourteen = 14
seed: 14-numbers
you are in the garden. the cat is with you. a long road is in the city. => you in garden; cat in garden; road in city; road is long | where is the cat? = garden; what is long? = road; where are you? = garden; where is the road? = city; what is in the city? = road; what is in the garden? = cat, you; is the road long? = yes; is the cat in the city? = no; where is the dog? = nothing
you have a dog. your dog is black. the long river is in the north. => you owns dog; dog is black; river in north; river is long | what color is your dog? = black; where is the river? = north; what do you have? = dog; what is black? = dog; what is long? = river; is your dog black? = yes; what is in the north? = river; is the river black? = no; where is your dog? = nothing
you have a car. your car is red. a high tower is in the city. the large dog is in the garden. => you owns car; car is red; tower in city; tower is high; dog in garden; dog is large | what is red? = car; what is high? = tower; where is the dog? = garden; what color is your car? = red; what do you have? = car; where is the tower? = city; what is large? = dog; is the tower red? = no; is the dog large? = yes; what is in the city? = tower
the high wall is in the garden. the best cake is on the table. a single key is in the box. => wall in garden; wall is high; cake in table; cake is best; key in box; key is single | where is the wall? = garden; what is best? = cake; what is in the box? = key; what is high? = wall; where is the cake? = table; where is the key? = box; what is single? = key; is the cake high? = no; is the wall in the garden? = yes; what is on the table? = cake
a single cat is in the garden. the same key is in the bag. tom found the key. => cat in garden; cat is single; key in bag; tom found key | where is the cat? = garden; where is the key? = bag; who found the key? = tom; what is in the bag? = key; what is in the garden? = cat; is the cat single? = yes; is the key in the garden? = no; who found the cat? = nothing
the same cat is in the house. another key is in the box. ann found the cat. => cat in house; key in box; ann found cat | where is the cat? = house; what is in the box? = key; who found the cat? = ann; where is the key? = box; what is in the house? = cat; who found the key? = nothing; is the cat in the box? = no; is the key in the house? = no
another cat is in the garden. tom made a cake. ann wrote a letter. => cat in garden; tom made cake; ann wrote letter | where is the cat? = garden; who made the cake? = tom; who wrote the letter? = ann; what is in the garden? = cat; who made the letter? = nothing; is the cat in the house? = no; who made the boat? = nothing; who found the cake? = nothing
ann made a boat. tom wrote a book. tom played the game. the boat is in the lake. => ann made boat; tom wrote book; tom played game; boat in lake | who made the boat? = ann; who wrote the book? = tom; who played the game? = tom; where is the boat? = lake; what is in the lake? = boat; who made the book? = nothing; who played the piano? = nothing; is the book in the lake? = no
ann played the piano. tom used the key. tom received a letter. the piano is in the house. => ann played piano; tom used key; tom received letter; piano in house | who played the piano? = ann; who used the key? = tom; who received the letter? = tom; where is the piano? = house; what is in the house? = piano; who used the piano? = nothing; who received the key? = nothing; is the key in the house? = no
ann used the pen. ann received a gift. tom became a doctor. => ann used pen; ann received gift; tom is doctor | who used the pen? = ann; who received the gift? = ann; what is tom? = doctor; is tom a doctor? = yes; who used the gift? = nothing; is ann a doctor? = no; what is ann? = nothing; who received the pen? = nothing
ann became a teacher. the dog is called rex. now the cat is in the garden. => ann is teacher; dog is rex; cat in garden | what is ann? = teacher; what is the dog? = rex; where is the cat? = garden; is ann a teacher? = yes; what is in the garden? = cat; where is the dog? = nothing; is ann a doctor? = no; what is the cat? = nothing
the cat is called tom. now the key is in the box. late the dog was in the park. => cat is tom; key in box; dog in park | what is the cat? = tom; where is the key? = box; where is the dog? = park; what is in the box? = key; what is in the park? = dog; is the dog in the box? = no; where is the cat? = nothing; is the key in the park? = no
early the cat was in the house. later the cat was in the garden. early the bird was in the tree. tom is at home. => cat in garden; bird in tree; tom in home | where is the cat? = garden; where is the bird? = tree; where is tom? = home; what is in the garden? = cat; what is in the house? = nothing; is the cat in the house? = no; what is in the tree? = bird; is tom in the tree? = no; where is ann? = nothing
ann went home. the cat went back to the house. the bird came back to the tree. => ann in home; cat in house; bird in tree | where is ann? = home; where is the cat? = house; where is the bird? = tree; what is in the house? = cat; what is in the tree? = bird; is the bird in the house? = no; where is tom? = nothing; is the cat in the tree? = no
tom came back to the park. the key is within the box. the pen is within the bag. => tom in park; key in box; pen in bag | where is tom? = park; where is the key? = box; what is in the bag? = pen; where is the pen? = bag; what is in the box? = key; what is in the park? = tom; is the key in the bag? = no; is tom in the box? = no; where is ann? = nothing
ann came back to the house. the team is in the city. the ball is in the box. => ann in house; team in city; ball in box | where is ann? = house; where is the team? = city; where is the ball? = box; what is in the house? = ann; what is in the city? = team; what is in the box? = ball; is ann in the city? = no; where is the family? = nothing
people are in the park. the family is in the house. the bird is in the tree. => people in park; family in house; bird in tree | where are the people? = park; where is the family? = house; what is in the park? = people; what is in the house? = family; is the family in the park? = no; where is the bird? = tree; what is in the tree? = bird; where is the team? = nothing
the people are in the house. the family is at home. the team played the game. the game is on the table. => people in house; family in home; team played game; game in table | what is in the house? = people; where is the family? = home; who played the game? = team; where are the people? = house; is the family at home? = yes; who played the piano? = nothing; where is the game? = table; what is on the table? = game; where is the team? = nothing
# Verbs a chat uses with their question forms: liking, living, sleeping; an age, a time, a
# subject a book is about.
i like cats. tom lives in paris. the cat sleeps on the bed. => i like cats; tom in paris; cat in bed | what do i like? = cats; where does tom live? = paris; where does the cat sleep? = bed; where is tom? = paris; where is the cat? = bed; what is on the bed? = cat; what does tom like? = nothing; where does ann live? = nothing; what is in paris? = tom
we like dogs. ann lives in london. the dog sleeps in the garden. => we like dogs; ann in london; dog in garden | what do we like? = dogs; where does ann live? = london; where does the dog sleep? = garden; where is ann? = london; where is the dog? = garden; what is in london? = ann; what do i like? = nothing; where does tom live? = nothing
the meeting is at 3. the party is at 8. the book is about cats. the film is about a dog. => meeting in 3; 3 = 3; party in 8; 8 = 8; book about cats; film about dog | when is the meeting? = 3; when is the party? = 8; what is the book about? = cats; what is the film about? = dog; is the meeting at 3? = yes; is the party at 3? = no; when is the game? = nothing; what is the poem about? = nothing
the poem is about hope. the lesson is at 9. i like dogs. => poem about hope; lesson in 9; 9 = 9; i like dogs | what is the poem about? = hope; when is the lesson? = 9; what do i like? = dogs; is the lesson at 9? = yes; what is the lesson about? = nothing; what do we like? = nothing; when is the party? = nothing; is the lesson at 5? = no
turn: i like cats what do i like {eom} => i like cats | cats
# Several sentences: an object pronoun brings a name along. ("tom has a dog. the dog is in the
# garden" cannot keep tom as the owner: "has" is the box's verb here, one row reads one way, and
# the reader has no class that tells a person from a box.) A pronoun always follows the sentence
# that names what it refers to.
tom is in the house. ann is with him. the car is red. its door is black. => tom in house; ann in house; car is red; car owns door; door is black | where is ann? = house; what is black? = door; where is tom? = house; what is in the house? = ann, tom; what is red? = car; what does the car have? = door; is the door red? = no; is the car black? = no; where is ben? = nothing
ben is in the park. the dog is with him. the house is big. its door is red. => ben in park; dog in park; house is big; house owns door; door is red | where is the dog? = park; what is red? = door; where is ben? = park; what is big? = house; what does the house have? = door; what is in the park? = ben, dog; is the house red? = no; is the door big? = no; where is the house? = nothing
the cats are in the box. the dog is with them. ann is in the house. she had a cat. => cats in box; dog in box; ann in house; ann owns cat | where is the dog? = box; who had the cat? = ann; where are the cats? = box; where is ann? = house; what is in the box? = cats, dog; what did ann have? = cat; is the dog in the house? = no; who had the dog? = nothing
the kids are in the garden. their ball is red. ann went to the school. she is happy. => kids in garden; kids owns ball; ball is red; ann in school; ann is happy | who had the ball? = kids; what is happy? = ann; where are the kids? = garden; what is red? = ball; where is ann? = school; is ann happy? = yes; is the ball red? = yes; what did the kids have? = ball; where is the ball? = nothing
the boys are in the house. their dog is black. the kids went to the park. they are happy. => boys in house; boys owns dog; dog is black; kids in park; kids is happy | who had the dog? = boys; what is happy? = kids; where are the boys? = house; where are the kids? = park; what is black? = dog; what did the boys have? = dog; what is in the park? = kids; is the dog happy? = no; what color is the dog? = black
the boys went to the garden. they are happy. tom is at the school. he had a book. => boys in garden; boys is happy; tom in school; tom owns book | what is happy? = boys; who had the book? = tom; where are the boys? = garden; where is tom? = school; what did tom have? = book; what is in the school? = tom; is tom happy? = no; who had the ball? = nothing
the dogs went to the house. they are black. the kids are in the house. they had a cake. => dogs in house; dogs is black; kids in house; kids owns cake | what is black? = dogs; who had the cake? = kids; where are the dogs? = house; where are the kids? = house; what is in the house? = dogs, kids; what did the kids have? = cake; is the cake black? = no; who had the dogs? = nothing
